gene	axis	source_dataset	source_module	evidence_type	evidence_status	direction	effect_size	statistic	p_value	fdr	sample_count	patient_count	cell_type	tissue	evidence_level	negative_evidence	result_path	analysis_code_sha	run_id
CD209	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	LN_ge_PT	0.0		nan	nan	8	4	B_cell	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
CD209	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	LN_ge_PT	0.0		nan	nan	8	4	plasma_cell	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
CD209	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	LN_ge_PT	0.0		nan	nan	8	4	endothelial	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
CD209	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	LN_ge_PT	0.0		nan	nan	8	4	other	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
CD209	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	LN_ge_PT	0.0		nan	nan	8	4	T_NK	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
CD209	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	LN_ge_PT	0.0		nan	nan	8	4	epithelial	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
C1QA	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	PT_gt_LN	-0.0063868191840999		0.135579836998949	0.433855478396637	8	4	B_cell	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
C1QA	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	PT_gt_LN	-0.0054320235556909		0.235197088460783	0.442239928118407	8	4	plasma_cell	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
C1QA	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	PT_gt_LN	-0.0098039215686274		0.422649730810374	0.483028263783285	8	4	endothelial	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
C1QA	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	LN_ge_PT	0.0		nan	nan	8	4	other	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
C1QA	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	LN_ge_PT	0.0		nan	nan	8	4	T_NK	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
C1QA	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	LN_ge_PT	0.0		nan	nan	8	4	epithelial	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
C1QB	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	PT_gt_LN	-0.0063576742882493		0.106181046964255	0.42472418785702	8	4	B_cell	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
C1QB	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	PT_gt_LN	-0.0061427556097065		0.25438508615922	0.442239928118407	8	4	plasma_cell	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
