accession	filename	download_decision	decision_reason
GSE337705	GSE337705_RAW.tar	skip	raw sequencing/archive file is not downloaded by default
GSE337705	filelist.txt	inspect_processed_files	processed or metadata-sized file can be inspected if needed
GSE337705	https://www.hhs.gov/vulnerability-disclosure-policy/index.html	metadata_only	HTTP Error 404: Not Found
GSE337706	GSE337706_RAW.tar	skip	raw sequencing/archive file is not downloaded by default
GSE337706	filelist.txt	inspect_processed_files	processed or metadata-sized file can be inspected if needed
GSE337706	https://www.hhs.gov/vulnerability-disclosure-policy/index.html	metadata_only	HTTP Error 404: Not Found
