gene	axis	source_dataset	source_module	evidence_type	evidence_status	direction	effect_size	statistic	p_value	fdr	sample_count	patient_count	cell_type	tissue	evidence_level	negative_evidence	result_path	analysis_code_sha	run_id
RBMS1	RBMS1-NEDD4 perturbation validation	GSE338829	GSE338829_assay_classification	RNA-binding target evidence	INSUFFICIENT_DATA						4		ES2		metadata_assay_scope		D:\Ovarian_AI_Target_Factory\results\dataset_feasibility\20260726_234947_501c5dd\GSE338829\GSE338829_assay_classification.json	0a85d2f	20260726_234947_501c5dd
NEDD4	RBMS1-NEDD4 perturbation validation	GSE338829	GSE338829_assay_classification	RNA-binding target evidence	INSUFFICIENT_DATA						4		ES2		metadata_assay_scope		D:\Ovarian_AI_Target_Factory\results\dataset_feasibility\20260726_234947_501c5dd\GSE338829\GSE338829_assay_classification.json	0a85d2f	20260726_234947_501c5dd
