gene	axis	source_dataset	evidence_type	tumor_expression	normal_tissue_penalty	cnv_support	survival_support	depmap_dependency	drug_sensitivity	malignant_cell_specificity	immune_cell_source	spatial_support	ligand_receptor_support	virtual_ko_support	functional_perturbation	independent_dataset_count	negative_evidence	evidence_coverage	total_score	decision	decision_reason
SPP1	SPP1-CD44/ITGB1 myeloid-malignant interaction	GSE319733	expression_or_perturbation	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	0		INSUFFICIENT_DATA		INSUFFICIENT_DATA	Exploratory parsed evidence is insufficient for target promotion.
CD44	SPP1-CD44 receptor arm	GSE319733	expression_or_perturbation	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	0		INSUFFICIENT_DATA		INSUFFICIENT_DATA	Exploratory parsed evidence is insufficient for target promotion.
ITGB1	SPP1-ITGB1 receptor arm	GSE319733	expression_or_perturbation	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	0		INSUFFICIENT_DATA		INSUFFICIENT_DATA	Exploratory parsed evidence is insufficient for target promotion.
MMP14	matrix remodeling / invasion	GSE319733	expression_or_perturbation	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	0		INSUFFICIENT_DATA		INSUFFICIENT_DATA	Exploratory parsed evidence is insufficient for target promotion.
CD209	DC-SIGN macrophage niche	GSE319733	expression_or_perturbation	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	0		INSUFFICIENT_DATA		INSUFFICIENT_DATA	Exploratory parsed evidence is insufficient for target promotion.
RBMS1	RBMS1-NEDD4 perturbation validation	GSE319733	expression_or_perturbation	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	0		INSUFFICIENT_DATA		INSUFFICIENT_DATA	Exploratory parsed evidence is insufficient for target promotion.
NEDD4	RBMS1-NEDD4 perturbation validation	GSE319733	expression_or_perturbation	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	NOT_TESTED	0		INSUFFICIENT_DATA		INSUFFICIENT_DATA	Exploratory parsed evidence is insufficient for target promotion.
