patient_id	biological_sample_id	tissue_code	cells_before_qc	cells_after_qc
P1	P1_LN	LN	2069	2032
P1	P1_PT	PT	492828	6643
P2	P2_LN	LN	2154	2113
P2	P2_PT	PT	342779	1185
P3	P3_LN	LN	1787	1756
P3	P3_PT	PT	367584	5153
P4	P4_LN	LN	8878	8713
P4	P4_PT	PT	8878	8713
P5	P5_LN	LN	5966	5773
P6	P6_LN	LN	1373	1351
