axis	gene	patient_id	tissue	cell_type	evidence_status	direction	effect_size	p_value	fdr	detection_rate	mean_expression	sample_count	patient_count	evidence_level	result_path	reason
SPP1-CD44/ITGB1 immune niche	MMP14	P1-P4	paired_LN_PT	B_cell	NEGATIVE	PT_gt_LN	-0.00116015823917882	0.0693108024293548	0.42472418785702	0.000793435210905817		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	MMP14	P1-P4	paired_LN_PT	plasma_cell	NEGATIVE	PT_gt_LN	-0.00223372931262057	0.276399955074004	0.442239928118407	0.00185296863062153		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	MMP14	P1-P4	paired_LN_PT	endothelial	NEGATIVE	LN_ge_PT	0			0		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	MMP14	P1-P4	paired_LN_PT	other	NEGATIVE	LN_ge_PT	0			0		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	MMP14	P1-P4	paired_LN_PT	T_NK	NEGATIVE	LN_ge_PT	0			0		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	MMP14	P1-P4	paired_LN_PT	epithelial	NEGATIVE	LN_ge_PT	0			0.0181818181818182		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	CD209	P1-P4	paired_LN_PT	B_cell	NEGATIVE	LN_ge_PT	0			4.423800044238e-05		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	CD209	P1-P4	paired_LN_PT	plasma_cell	NEGATIVE	LN_ge_PT	0			0		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	CD209	P1-P4	paired_LN_PT	endothelial	NEGATIVE	LN_ge_PT	0			0		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	CD209	P1-P4	paired_LN_PT	other	NEGATIVE	LN_ge_PT	0			0		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
