gene	cell_type_group	paired_patient_count	mean_LN	mean_PT	effect_size_LN_minus_PT	p_value	fdr	evidence_status
SPP1	B_cell;plasma_cell	8	0	0.0280756560409277	0			INSUFFICIENT_DATA
CD44	B_cell;plasma_cell	8	0.674906197172393	0.656787740145614	-0.00475777567389887	0.944312390517815	0.944312390517815	SUPPORTED
ITGB1	B_cell;plasma_cell	8	0.213036580498328	0.390084520375097	-0.191909395497962	0.0167634055073065	0.0979906984698627	SUPPORTED
MMP14	B_cell;plasma_cell	8	0.000140677569489331	0.00668977792343429	-0.00506564308232461	0.149043727349685	0.179720004875996	SUPPORTED
CD209	B_cell;plasma_cell	8	0	3.74412411993414e-05	0			INSUFFICIENT_DATA
C1QA	B_cell;plasma_cell	8	5.02703909667729e-05	0.0145342281973595	-0.0153639869962757	0.0402435221340329	0.0979906984698627	SUPPORTED
C1QB	B_cell;plasma_cell	8	0.000274962582119119	0.016227076164158	-0.0163264016285374	0.0489953492349313	0.0979906984698627	SUPPORTED
C1QC	B_cell;plasma_cell	8	7.5370745609922e-05	0.021469273201806	-0.0191926069653666	0.149766670729997	0.179720004875996	SUPPORTED
