broad_celltype	paired_patient_count	mean_LN	mean_PT	effect_size_LN_minus_PT	p_value	fdr	patient_consistency
B_cell	4	0.882547802788077	0.687359598989378	0.195188203798699	0.131382020680068	0.186317922968114	LN_ge_PT
plasma_cell	4	0.00336262591606312	0.149102106892056	-0.145739480975993	0.147768851818489	0.186317922968114	PT_gt_LN
endothelial	4	0.00187219496164619	0.00609719838082014	-0.00422500341917395	0.148305085712732	0.186317922968114	PT_gt_LN
other	4	0.00367267301733043	0.012808243258295	-0.00913557024096453	0.229070047743181	0.229070047743181	PT_gt_LN
T_NK	4	0.1083151612533	0.119701122023289	-0.011385960769989	0.155264935806762	0.186317922968114	PT_gt_LN
epithelial	4	0.000200849305635258	0.0017012778937575	-0.00150042858812224	0.125459327687456	0.186317922968114	PT_gt_LN
