patient_id	total_unique_clonotypes	shared_clonotypes	shared_clonotype_fraction
P1	9936	86	0.00865539452495974
P2	12135	58	0.00477956324680676
P3	12848	105	0.00817247820672478
P4	5164	5164	1
P5	10416	0	0
P6	2465	0	0
